HOLEID,FROM,TO,SAMPID,SampleType,Comments,Ni_pct,Co_pct,Mg_pct,Al_pct,Fe_pct,Ca_pct,Cr_ppm,Cl_ppm,Si_pct,Mn_ppm,Zn_ppm,Cu_ppm,As_ppm
23GC02471,0,1,MM00007454,AC,,0.33,0.01,2.15,4.33,32.9,1.54,11900,600,11.8,350,200,40,90
23GC02471,1,2,MM00007455,AC,,0.29,0.01,9.43,3.12,10.8,1.58,5610,300,23.7,80,95,30,50
23GC02471,2,3,MM00007456,AC,,0.46,0.02,9.91,2.33,14.3,0.26,6630,3850,22.2,80,140,20,80
23GC02471,3,4,MM00007458,AC,,0.48,0.01,10.2,2.72,13.8,0.09,4620,5400,22.3,110,140,20,60
23GC02471,4,5,MM00007459,AC,,0.5,0.02,10.7,2.08,15.2,0.06,4700,4500,22,120,155,25,70
23GC02471,5,6,MM00007460,AC,,0.42,0.01,12.2,2.16,10.4,0.09,5440,4050,24,50,140,25,70
23GC02471,6,7,MM00007461,AC,,0.52,0.02,12.2,2.1,10.8,0.03,5110,5600,23.5,50,150,15,60
23GC02471,7,8,MM00007462,AC,,0.61,0.01,12.9,1.3,12.5,0.03,6470,6900,23,140,155,20,90
23GC02471,8,9,MM00007463,AC,,0.56,0.02,12.9,1.83,10.1,0.02,5600,5500,24,80,155,25,60
23GC02471,9,10,MM00007464,AC,,0.66,0.02,13.4,1.36,9.81,0.03,5640,6150,24.3,80,145,25,60
23GC02471,10,11,MM00007465,AC,,0.49,0.01,10.4,0.88,8.45,0.04,3750,2550,28.8,170,110,25,30
23GC02471,11,12,MM00007466,AC,,0.58,0.02,12.5,1.18,9.81,0.05,4520,4900,25.3,160,125,20,40
23GC02471,12,13,MM00007467,AC,,1.11,0.06,7.29,2.59,17.5,0.09,7710,7800,20.5,880,260,15,30
23GC02471,13,14,MM00007468,AC,,1.79,0.29,6.39,2.1,16.5,0.1,5850,14400,20.9,10100,245,40,20
23GC02471,14,15,MM00007469,AC,,1.07,0.12,14.8,1.2,11.1,0.06,4410,9900,19.4,7590,185,30,20
23GC02471,15,16,MM00007470,AC,,0.83,0.06,13.3,1.01,10.8,0.05,4830,8400,21.9,3770,140,20,10
23GC02471,16,17,MM00007471,AC,,0.72,0.03,16.9,0.76,9.23,0.03,4160,6250,20.1,4350,110,15,10
23GC02472,0,1,MM00007436,AC,,0.6,0.03,1.94,5.69,20.8,1.98,13000,3750,17.4,220,230,20,50
23GC02472,1,2,MM00007437,AC,,0.71,0.03,1.86,5.38,21,1.4,13500,5200,18.5,190,235,20,40
23GC02472,2,3,MM00007438,AC,,0.68,0.03,1.33,4.99,30,0.29,16400,6050,13.7,310,290,25,30
23GC02472,3,4,MM00007439,AC,,0.79,0.03,1.14,5.03,29.5,0.2,12100,7050,14.4,240,265,15,30
23GC02472,4,5,MM00007440,AC,,1.11,0.04,1.42,4.57,23.1,0.2,12000,7350,19,200,335,15,10
23GC02472,5,6,MM00007441,AC,,1.36,0.04,1.52,4.17,21.7,0.29,9140,8150,20.1,180,270,15,30
23GC02472,6,7,MM00007442,AC,,1.71,0.07,2.11,3.17,22.7,0.18,11300,10600,20.4,1140,325,5,5
23GC02472,7,8,MM00007443,AC,,1.63,0.09,3.05,3.49,23.9,0.14,11000,9350,18.1,1500,330,10,5
23GC02472,8,9,MM00007444,AC,,1.36,0.03,3.82,2.53,14.2,0.1,9590,8650,26.1,340,250,10,10
23GC02472,9,10,MM00007445,AC,,0.93,0.02,3.4,1.45,11.8,0.08,7480,4900,30.1,260,150,10,5
23GC02472,10,11,MM00007446,AC,,0.9,0.02,6.88,1.13,10.7,0.06,7130,6200,28.2,290,150,15,10
23GC02472,11,12,MM00007447,AC,,0.93,0.04,13.6,1.17,9.48,0.06,5740,4850,22.9,2010,110,30,10
23GC02472,12,13,MM00007448,AC,,0.77,0.02,14.6,0.8,8.96,0.05,4780,4900,22.8,1510,95,25,10
23GC02472,13,14,MM00007450,AC,,0.73,0.02,13.8,0.88,8.34,0.04,4820,5000,23.9,1510,80,15,10
23GC02472,14,15,MM00007451,AC,,0.68,0.02,16.1,1.05,10.4,0.05,7170,9550,19.5,1230,105,20,5
23GC02472,15,16,MM00007452,AC,,0.58,0.02,15.1,0.9,10.8,0.04,5650,8200,20.9,1320,95,20,20
23GC02472,16,17,MM00007453,AC,,0.52,0.02,15.1,0.78,9.22,1.19,3720,6750,20.6,1410,75,15,10
23GC02473,0,1,MM00007417,AC,,0.28,0.02,0.46,7.68,30.1,2.26,10500,600,10.7,170,230,80,90
23GC02473,1,2,MM00007418,AC,,0.17,0.01,0.57,9.85,19.1,3.97,9170,1300,13.9,150,165,40,40
23GC02473,2,3,MM00007419,AC,,0.18,0.01,0.52,11,20.6,2.3,9330,2000,13.9,130,170,50,30
23GC02473,3,4,MM00007420,AC,,0.3,0.02,0.48,7.08,36.4,2.61,8000,2450,8.34,260,255,60,30
23GC02473,4,5,MM00007421,AC,,0.31,0.02,0.5,7.99,34.8,0.33,10800,3150,9.11,180,275,60,10
23GC02473,5,6,MM00007422,AC,,1.03,0.05,0.97,6.05,27.3,0.25,10600,5350,15.3,230,395,25,5
23GC02473,6,7,MM00007423,AC,,1.34,0.18,1.68,2.82,16.4,0.14,6850,4050,26.5,2890,310,15,5
23GC02473,7,8,MM00007425,AC,,1.7,0.27,7.9,1.79,15.6,0.14,7070,7300,21.4,6130,320,25,5
23GC02473,8,9,MM00007426,AC,,1.26,0.18,10.5,1.27,12.8,0.08,5730,6250,22.7,5490,210,20,5
23GC02473,9,10,MM00007427,AC,,1.11,0.07,13.4,1.13,10.8,0.06,4810,6200,21.8,3050,150,20,5
23GC02473,10,11,MM00007428,AC,,0.94,0.07,16.3,1.05,10.8,0.05,4670,6750,19.5,4130,155,35,10
23GC02473,11,12,MM00007430,AC,,0.74,0.02,16.6,0.82,9.27,0.05,3860,5050,20.8,2390,105,25,10
23GC02473,12,13,MM00007431,AC,,0.69,0.02,15.8,0.74,8.73,0.03,3460,4050,22.2,1970,95,20,5
23GC02473,13,14,MM00007432,AC,,0.57,0.01,16.2,0.76,8.6,0.04,3290,4700,22,1200,85,20,10
23GC02473,14,15,MM00007433,AC,,0.54,0.01,15.5,0.65,8.12,0.03,2830,3600,23.5,1170,75,20,10
23GC02473,15,16,MM00007434,AC,,0.6,0.01,16.9,0.88,10.2,0.03,3910,6500,19.9,1690,80,30,10
23GC02473,16,17,MM00007435,AC,,0.51,0.01,17.6,0.69,8.97,0.03,3440,4350,20.7,1130,75,25,10
23GC02474,0,1,MM00007392,AC,,0.07,0.004,0.57,12.7,6.27,2.24,9140,250,22,130,50,2,5
23GC02474,1,2,MM00007393,AC,,0.19,0.01,0.57,7.8,31.3,2.29,12800,1800,9.79,340,255,40,30
23GC02474,2,3,MM00007394,AC,,0.32,0.02,0.6,4.74,44,0.91,11600,2400,5.78,740,365,35,10
23GC02474,3,4,MM00007395,AC,,0.24,0.01,0.65,8.97,29,1.05,16200,3450,10.9,480,365,25,20
23GC02474,4,5,MM00007396,AC,,0.45,0.02,0.41,6.23,40.4,0.08,11900,3100,7.14,390,380,40,10
23GC02474,5,6,MM00007397,AC,,0.99,0.04,1.04,3.48,37.5,0.11,7940,4150,11.3,710,610,60,5
23GC02474,6,7,MM00007398,AC,,1.55,0.07,3.65,2.64,21.9,0.12,8090,7350,20.7,730,460,55,5
23GC02474,7,8,MM00007399,AC,,1.83,0.62,7.48,2.02,15,0.08,4650,7000,21.5,17300,410,55,5
23GC02474,8,9,MM00007400,AC,,1.4,0.17,12.3,1.77,15,0.07,4700,9500,18.5,8150,285,55,10
23GC02474,9,10,MM00007401,AC,,0.98,0.03,16.8,1.37,12.1,0.04,4900,8200,17.4,3620,180,45,10
23GC02474,10,11,MM00007403,AC,,1.52,0.33,12.4,1.83,14.7,0.06,5010,8700,18,10900,330,50,5
23GC02474,11,12,MM00007404,AC,,0.71,0.02,16.2,1.16,10.2,0.04,5950,5250,20.2,1570,110,30,10
23GC02474,12,13,MM00007405,AC,,0.74,0.02,16.5,1.4,11,0.04,5780,6750,18.9,1640,115,35,10
23GC02474,13,14,MM00007406,AC,,0.61,0.02,17.3,1.32,9.46,0.03,5010,4850,19.7,1180,100,30,10
23GC02474,14,15,MM00007407,AC,,0.57,0.01,15.7,1.09,9.14,0.03,4930,4100,21.4,940,105,20,10
23GC02474,15,16,MM00007408,AC,,0.62,0.02,15.2,1.2,9.79,0.03,4560,5400,21.2,1050,135,25,20
23GC02474,16,17,MM00007409,AC,,0.64,0.02,10.6,1.22,15.4,0.05,5420,9900,21.1,1010,140,25,20
23GC02474,17,18,MM00007410,AC,,0.54,0.01,15.5,1.12,10.5,0.04,4910,6350,20.6,850,140,50,10
23GC02474,18,19,MM00007411,AC,,0.42,0.01,15.3,0.74,9.55,0.04,3170,3800,22.2,1850,115,50,30
23GC02474,19,20,MM00007412,AC,,0.44,0.01,12.1,1.02,10.6,0.04,4840,5300,23.8,900,140,20,10
23GC02474,20,21,MM00007413,AC,,0.39,0.01,12.5,0.92,10,1.9,3690,4750,21.4,1370,105,10,5
23GC02474,21,22,MM00007414,AC,,0.32,0.01,17.5,0.69,7.3,2.57,4470,3100,18.1,1630,115,15,10
23GC02474,22,23,MM00007416,AC,,0.3,0.01,16,0.66,7.86,4.89,4220,3700,15.7,2430,125,10,10
23GC02475,0,1,MM00007368,AC,,0.2,0.01,0.3,12.27,22.44,1.37,3000,1000,13.62,300,47,,
23GC02475,1,2,MM00007369,AC,,0.04,0.004,0.24,12.46,0.63,1.81,3150,1800,14.16,50,52,,
23GC02475,2,3,MM00007370,AC,,0.15,0.01,0.1,9.4,28.92,0.22,2850,2450,9.18,300,57,,
23GC02475,3,4,MM00007371,AC,,0.23,0.02,0.13,10.1,32.19,0.13,2400,2700,9.9,1100,63,,
23GC02475,4,5,MM00007372,AC,,0.16,0.01,0.23,11.76,23.98,0.81,3200,2300,12.05,400,57,,
23GC02475,5,6,MM00007373,AC,,0.2,0.02,0.05,10.95,27.43,0.11,4800,3200,10.77,550,102,,
23GC02475,6,7,MM00007374,AC,,0.34,0.02,0.12,9.26,33.44,0.05,7950,3000,9.2,650,166,,
23GC02475,7,8,MM00007375,AC,,0.37,0.02,0.05,8.56,33.21,0.05,10800,3200,8.83,300,220,,
23GC02475,8,9,MM00007376,AC,,0.39,0.02,0.05,7.31,37.9,0.05,8850,2800,7.73,800,198,,
23GC02475,9,10,MM00007377,AC,,0.35,0.01,0.15,9.08,32.05,0.05,10500,3300,9.73,250,240,,
23GC02475,10,11,MM00007378,AC,,0.4,0.01,0.17,8.84,35.01,0.05,9950,3200,9.63,400,193,,
23GC02475,11,12,MM00007379,AC,,0.34,0.01,0.12,9.12,31.24,0.05,10200,3150,9.74,300,220,,
23GC02475,12,13,MM00007380,AC,,0.41,0.02,0.11,4.96,43.64,0.05,5350,1750,5.97,1350,198,,
