HOLEID,FROM,TO,LITHO,HARD,FIB
23GC02471,0,1,TZ,3,0
23GC02471,1,2,FZ,2,0
23GC02471,2,3,FZ,2,0
23GC02471,3,4,FZ,2,0
23GC02471,4,5,FZ,2,0
23GC02471,5,6,FZ,2,0
23GC02471,6,7,FZ,2,0
23GC02471,7,8,FZ,2,0
23GC02471,8,9,FZ,2,0
23GC02471,9,10,FZ,2,0
23GC02471,10,11,FZ,2,0
23GC02471,11,12,FZ,2,0
23GC02471,12,13,SS,1,0
23GC02471,13,14,SS,1,0
23GC02471,14,15,SS,1,0
23GC02471,15,16,SS,1,0
23GC02471,16,17,SA,2,2
23GC02472,0,1,SF,2,0
23GC02472,1,2,SM,1,0
23GC02472,2,3,SM,1,0
23GC02472,3,4,SM,1,0
23GC02472,4,5,SM,1,0
23GC02472,5,6,SM,1,0
23GC02472,6,7,SS,1,0
23GC02472,7,8,SS,1,0
23GC02472,8,9,SS,1,0
23GC02472,9,10,SS,1,0
23GC02472,10,11,SS,1,0
23GC02472,11,12,SA,3,0
23GC02472,12,13,SA,3,0
23GC02472,13,14,SA,3,0
23GC02472,14,15,SA,3,0
23GC02472,15,16,SA,3,0
23GC02472,16,17,SA,3,0
23GC02473,0,1,TZ,2,0
23GC02473,1,2,FZ,2,0
23GC02473,2,3,FZ,2,0
23GC02473,3,4,FZ,2,0
23GC02473,4,5,FZ,2,0
23GC02473,5,6,SF,1,0
23GC02473,6,7,SM,1,0
23GC02473,7,8,SS,1,0
23GC02473,8,9,SS,1,1
23GC02473,9,10,SS,1,0
23GC02473,10,11,SS,1,0
23GC02473,11,12,SA,2,0
23GC02473,12,13,SA,2,0
23GC02473,13,14,SA,2,0
23GC02473,14,15,UM,3,0
23GC02473,15,16,UM,3,0
23GC02473,16,17,UM,3,0
23GC02474,0,1,TZ,3,0
23GC02474,1,2,FZ,2,0
23GC02474,2,3,FZ,2,0
23GC02474,3,4,FZ,2,0
23GC02474,4,5,FZ,2,0
23GC02474,5,6,SF,1,0
23GC02474,6,7,SM,1,0
23GC02474,7,8,SS,1,0
23GC02474,8,9,SS,1,0
23GC02474,9,10,SS,1,0
23GC02474,10,11,SS,1,0
23GC02474,11,12,SA,2,0
23GC02474,12,13,SA,2,0
23GC02474,13,14,SA,2,0
23GC02474,14,15,SA,2,0
23GC02474,15,16,SA,2,0
23GC02474,16,17,SA,2,0
23GC02474,17,18,SA,2,0
23GC02474,18,19,UM,3,0
23GC02474,19,20,UM,3,0
23GC02474,20,21,UM,3,0
23GC02474,21,22,UM,3,0
23GC02474,22,23,UM,3,0
23GC02475,0,1,TZ,3,0
23GC02475,1,2,TZ,3,0
23GC02475,2,3,PC,2,0
23GC02475,3,4,PC,2,0
23GC02475,4,5,PC,2,0
23GC02475,5,6,FZ,2,0
23GC02475,6,7,FZ,2,0
23GC02475,7,8,FZ,2,0
23GC02475,8,9,FZ,2,0
23GC02475,9,10,FZ,2,0
23GC02475,10,11,FZ,2,0
23GC02475,11,12,FZ,2,0
23GC02475,12,13,SF,1,0
23GC02475,13,14,SF,1,0
23GC02475,14,15,SF,1,0
23GC02475,15,16,SF,1,0
23GC02475,16,17,SF,1,0
23GC02475,17,18,SS,1,0
23GC02475,18,19,SS,1,0
23GC02475,19,20,SA,3,0
23GC02475,20,21,SA,3,0
23GC02475,21,22,SA,3,0
23GC02475,22,23,SA,3,0
23GC02476,0,1,TZ,3,0
23GC02476,1,2,TZ,3,0
23GC02476,2,3,TZ,3,0
23GC02476,3,4,FZ,2,0
23GC02476,4,5,FZ,2,0
23GC02476,5,6,FZ,2,0
23GC02476,6,7,FZ,2,0
23GC02476,7,8,FZ,2,0
23GC02476,8,9,FZ,2,0
23GC02476,9,10,FZ,2,0
23GC02476,10,11,SM,1,0
23GC02476,11,12,SM,1,0
23GC02476,12,13,SS,1,0
23GC02476,13,14,SS,1,0
23GC02476,14,15,SS,1,0
23GC02476,15,16,SS,1,0
23GC02476,16,17,SS,1,0
23GC02476,17,18,SS,1,0
23GC02476,18,19,SS,1,0
23GC02476,19,20,SA,2,0
23GC02476,20,21,SA,2,0
23GC02476,21,22,SA,2,0
23GC02476,22,23,SA,2,0
23GC02476,23,24,SA,2,0
23GC02476,24,25,UM,3,0
23GC02476,25,26,UM,3,0
23GC02476,26,27,UM,3,0
23GC02476,27,28,UM,3,0
23GC02476,28,29,UM,3,0
23GC02477,0,1,TZ,3,0
23GC02477,1,2,TZ,3,0
23GC02477,2,3,TZ,3,0
23GC02477,3,4,FZ,2,0
23GC02477,4,5,FZ,2,0
23GC02477,5,6,FZ,2,0
23GC02477,6,7,FZ,2,0
23GC02477,7,8,FZ,2,0
23GC02477,8,9,FZ,2,0
23GC02477,9,10,FZ,2,0
23GC02477,10,11,FZ,2,0
23GC02477,11,12,FZ,2,0
23GC02477,12,13,SM,1,0
23GC02477,13,14,SM,1,0
23GC02477,14,15,SS,1,0
23GC02477,15,16,SS,1,0
23GC02477,16,17,SS,1,0
23GC02477,17,18,SS,1,0
23GC02477,18,19,SS,1,0
23GC02477,19,20,SS,1,0
23GC02477,20,21,SS,1,0
23GC02477,21,22,SA,2,0
23GC02477,22,23,SA,2,0
23GC02477,23,24,SA,2,0
23GC02477,24,25,SA,2,0
23GC02477,25,26,SA,2,0
23GC02477,26,27,SA,2,0
23GC02477,27,28,SA,2,0
23GC02477,28,29,SA,2,0
23GC02478,0,1,TZ,3,0
23GC02478,1,2,TZ,3,0
23GC02478,2,3,TZ,3,0
23GC02478,3,4,TZ,3,0
23GC02478,4,5,FZ,2,0
23GC02478,5,6,FZ,2,0
23GC02478,6,7,FZ,2,0
23GC02478,7,8,FZ,2,0
23GC02478,8,9,FZ,2,0
23GC02478,9,10,FZ,2,0
23GC02478,10,11,FZ,2,0
23GC02478,11,12,FZ,2,0
23GC02478,12,13,FZ,2,0
23GC02478,13,14,FZ,2,0
23GC02478,14,15,SF,1,0
23GC02478,15,16,SF,1,0
23GC02478,16,17,SF,1,0
23GC02478,17,18,SF,1,0
23GC02478,18,19,SF,1,0
23GC02478,19,20,SS,1,0
23GC02478,20,21,SS,1,0
23GC02478,21,22,SS,1,0
23GC02478,22,23,SS,1,0
23GC02478,23,24,SM,1,0
23GC02478,24,25,SM,1,0
23GC02478,25,26,SA,3,0
23GC02478,26,27,SA,3,0
23GC02478,27,28,SA,3,0
23GC02478,28,29,SA,3,0
23GC02478,29,30,UM,3,0
23GC02478,30,31,UM,3,0
23GC02479,0,1,TZ,3,0
23GC02479,1,2,TZ,3,0
23GC02479,2,3,TZ,3,0
23GC02479,3,4,TZ,3,0
23GC02479,4,5,FZ,2,0
23GC02479,5,6,FZ,2,0
23GC02479,6,7,FZ,2,0
23GC02479,7,8,FZ,2,0
