X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,,,,,,,,,,,
1,E10121 R,1,1.350,0.160,48.850,1.580,0.780,,7.790,,0.020,Limonite
,,2,1.300,0.154,48.340,1.940,0.850,,7.690,,0.020,Limonite
,,3,1.280,0.183,45.080,1.830,1.020,,8.100,,0.050,Limonite
,,4,0.710,0.062,22.710,16.270,15.350,,3.500,,1.080,Saprolite
,,5,0.260,0.007,7.430,35.090,35.870,,1.500,,1.500,Saprolite
,,6,0.240,0.003,6.610,36.180,37.930,,1.130,,0.960,Saprolite
,,7,0.220,0.003,6.600,36.640,37.900,,1.310,,1.350,Saprolite
,,8,0.250,0.003,6.710,36.060,36.770,,1.390,,1.110,Saprolite
,,9,0.430,0.004,6.920,36.110,34.830,,1.440,,1.540,Saprolite
,,10,0.270,0.003,6.750,35.490,35.740,,1.530,,1.860,Bedrock
,,11,0.190,0.001,6.360,37.360,38.500,,1.460,,1.970,Bedrock
,,12,0.390,0.003,6.720,36.910,34.870,,1.580,,1.810,Bedrock
,,13,0.510,0.007,7.770,34.910,32.580,,1.710,,1.840,Bedrock
,,14,0.190,0.002,6.520,35.070,37.320,,1.330,,1.540,Bedrock
,,15,0.200,0.002,6.520,39.710,34.730,,1.460,,1.330,Bedrock
,,16,0.240,0.004,6.890,37.300,38.510,,1.430,,1.370,Bedrock
,,17,0.190,0.003,6.640,17.730,13.350,,0.470,,1.370,Bedrock
2,DDG 001,1,0.990,0.132,49.550,4.720,3.790,,,7.790,0.400,Limonite
,,2,0.980,0.118,49.240,3.460,1.610,,,7.310,0.020,Limonite
,,3,1.090,0.118,49.440,3.850,1.620,,,7.250,0.040,Limonite
,,4,1.190,0.112,46.090,6.480,3.080,,,6.680,0.130,Limonite
,,5,1.200,0.115,44.960,6.460,3.480,,,6.480,0.210,Limonite
,,6,1.100,0.063,23.720,23.960,11.500,,,4.580,1.290,Saprolite
,,7,1.190,0.032,13.880,37.050,16.160,,,2.660,1.560,Saprolite
,,8,0.290,0.005,6.970,18.180,12.740,,,0.470,1.590,Saprolite
,,9,0.230,0.005,7.080,18.170,12.200,,,0.560,1.510,Saprolite
,,10,0.466,0.005,8.154,35.308,31.221,0.519,,1.590,,Saprolite
,,11,0.862,0.030,14.295,29.698,18.428,1.370,,2.838,,Saprolite
,,12,0.314,0.004,7.918,35.314,33.690,0.460,,1.442,,Saprolite
,,13,0.224,0.003,7.474,35.660,34.641,0.429,,1.554,,Saprolite
,,14,0.211,0.002,7.261,35.629,34.371,0.433,,1.601,,Saprolite
,,15,0.221,0.002,7.311,35.428,33.384,0.432,,1.646,,Saprolite
,,16,1.329,0.032,15.403,32.022,20.177,1.354,,3.359,,Saprolite
,,17,0.953,0.022,12.991,30.513,20.197,1.123,,3.041,,Saprolite
,,18,1.227,0.031,14.247,31.127,20.481,1.505,,3.324,,Saprolite
,,19,0.230,0.001,7.029,34.455,30.488,0.515,,1.653,,Bedrock
,,20,0.241,0.001,7.080,35.058,33.240,0.447,,1.501,,Bedrock
,,21,0.214,0.002,7.169,33.322,33.757,0.424,,1.268,,Bedrock
,,22,0.199,0.001,6.711,34.728,32.942,0.404,,1.590,,Bedrock
3,DDG 002,1,1.110,0.123,45.590,4.400,1.160,,7.710,,0.020,Limonite
,,2,1.240,0.116,45.610,9.760,1.600,,6.800,,0.040,Limonite
,,3,1.530,0.114,40.580,17.950,1.070,,5.750,,0.020,Limonite
,,4,1.100,0.115,45.650,5.300,3.330,,6.280,,0.040,Limonite
,,5,1.460,0.129,48.390,5.540,0.980,,5.910,,0.020,Limonite
,,6,1.160,0.116,43.940,6.920,4.860,,5.890,,0.090,Limonite
,,7,1.420,0.113,37.570,18.850,2.810,,5.390,,0.120,Limonite
,,8,1.380,0.102,36.240,19.600,6.100,,6.460,,0.230,Limonite
,,9,1.600,0.123,45.850,8.090,4.000,,6.790,,0.110,Limonite
,,10,1.820,0.136,50.200,7.570,2.450,,5.290,,0.060,Limonite
