HOLEID,MGA94_51_Easting,MGA94_51_Northing,RL,Hole_Depth,HoleType,Local_GridID,TENEMENTID,STARTDATE,ENDDATE
23GC02471,419673.24,6780706.16,418.13,17,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02472,419660.75,6780706.16,418.46,17,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02473,419648.25,6780706.16,418.89,17,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02474,419623.26,6780706.16,419.99,23,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02475,419598.27,6780706.16,422.01,23,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02476,419585.78,6780706.16,422.75,29,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02477,419573.28,6780706.16,423.18,29,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02478,419548.29,6780706.16,423.46,31,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02479,419535.8,6780706.16,423.58,32,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02480,419523.3,6780706.16,423.66,33,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02481,419498.31,6780706.16,423.91,36,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02519,419673.24,6780681.17,418.18,17,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02525,419548.29,6780681.17,422.82,31,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02526,419523.3,6780681.17,423.57,35,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02527,419498.31,6780681.17,424.33,36,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02528,419473.32,6780681.17,424.84,35,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02529,419448.33,6780681.17,425.1,31,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02530,419423.34,6780681.17,423.97,39,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02531,419398.35,6780681.17,423.26,31,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02532,419373.36,6780681.17,422.44,21,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02533,419348.37,6780681.17,421.21,15,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02534,419354.57,6780668.68,421.27,16,AC,PAE,M39/322,2/3/2008,2/3/2008
23GC02535,419367.16,6780668.68,421.7,24,AC,PAE,M39/322,1/3/2008,1/3/2008
23GC02536,419379.56,6780668.68,422.33,32,AC,PAE,M39/322,1/3/2008,1/3/2008
